Category,Tyres,Pit Stops,Best Lap Kph,Best Lap Time
LMP2,G,32,227.1,03:36.0
LMGTE Am,M,8,210.5,03:53.1
LMP2,G,2,214.0,03:49.2
LMP2,G,4,225.7,03:37.3
HYPERCAR,M,19,230.7,03:32.6
LMGTE Am,M,19,211.1,03:52.4
LMP2,G,4,225.9,03:37.1
LMGTE Am,M,18,210.7,03:52.8
LMP2,G,3,223.9,03:39.1
LMP2,G,30,225.5,03:37.5
LMGTE Am,M,11,211.0,03:52.5
HYPERCAR,M,8,233.5,03:30.1
LMP2,G,1,223.9,03:39.0
LMGTE Am,M,3,208.9,03:54.9
LMP2,G,10,219.9,03:43.1
HYPERCAR,M,7,233.7,03:29.9
LMGTE Am,M,1,211.9,03:51.4
LMGTE Am,M,22,211.3,03:52.1
HYPERCAR,M,22,235.7,03:28.1
HYPERCAR,M,11,233.5,03:30.1
LMGTE Am,M,2,204.1,04:00.3
LMGTE Am,M,8,208.9,03:54.9
HYPERCAR,M,25,234.3,03:29.4
HYPERCAR,M,21,235.5,03:28.3
LMP2,G,7,225.7,03:37.3
LMP2,G,17,224.6,03:38.4
LMGTE Am,M,21,211.0,03:52.5
HYPERCAR,M,19,233.6,03:30.0
INNOVATIVE CAR,G,1,211.3,03:52.1
LMGTE Am,M,3,211.0,03:52.5
HYPERCAR,M,9,234.7,03:29.0
HYPERCAR,M,6,233.7,03:29.9
LMP2,G,3,223.6,03:39.4
LMP2,G,4,225.4,03:37.6
LMP2,G,4,225.2,03:37.8
HYPERCAR ,M,27,235.5,03:28.3
LMP2,G,12,224.0,03:39.0
LMGTE Am,M,7,208.9,03:54.9
LMP2,G,4,220.6,03:42.4
LMGTE Am,M,20,211.0,03:52.5
LMGTE Am,M,4,210.5,03:53.1
LMGTE Am,M,13,211.6,03:51.8
LMP2,G,1,225.4,03:37.6
LMP2,G,10,225.4,03:37.6
HYPERCAR,M,19,234.8,03:28.9
LMGTE Am,M,2,207.7,03:56.2
LMP2,G,23,225.7,03:37.3
LMP2,G,2,218.8,03:44.2
LMP2,G,23,226.2,03:36.8
LMGTE Am,M,22,210.3,03:53.2
LMGTE Am,M,8,210.5,03:53.1
LMP2,G,24,225.0,03:38.1
LMP2,G,6,223.9,03:39.0
LMP2,G,2,225.3,03:37.7
LMGTE Am,M,9,211.2,03:52.2
HYPERCAR,M,9,234.0,03:29.7
HYPERCAR,M,0,233.4,03:30.2
LMP2,G,1,225.9,03:37.1
HYPERCAR,M,23,235.1,03:28.7
HYPERCAR,M,29,235.9,03:28.0
LMGTE Am,M,10,211.3,03:52.1
HYPERCAR,M,23,234.3,03:29.4
LMGTE Am,M,5,208.7,03:55.0
HYPERCAR,M,4,233.6,03:30.0
LMP2,G,10,225.4,03:37.6
HYPERCAR,M,1,233.4,03:30.2
LMGTE Am,M,14,208.7,03:55.1
LMP2,G,2,218.8,03:44.2
LMP2,G,31,225.7,03:37.3
HYPERCAR,M,7,233.7,03:29.9
HYPERCAR,M,7,230.4,03:32.9
HYPERCAR,M,27,235.3,03:28.4
LMP2,G,12,224.4,03:38.6
HYPERCAR,M,33,233.7,03:29.9
LMGTE Am,M,12,211.6,03:51.8
HYPERCAR,M,4,235.5,03:28.3
HYPERCAR,M,21,234.0,03:29.7
HYPERCAR,M,17,232.9,03:30.6
LMGTE Am,M,1,209.0,03:54.7
LMP2,G,3,224.3,03:38.7
LMGTE Am,M,2,205.5,03:58.7
LMP2,G,26,225.0,03:38.1
LMGTE Am,M,20,211.9,03:51.4
LMGTE Am,M,8,210.5,03:53.1
LMGTE Am,M,9,208.3,03:55.4
HYPERCAR,M,3,235.5,03:28.3
LMP2,G,6,219.9,03:43.1
LMP2,G,2,225.0,03:38.0
LMP2,G,21,225.0,03:38.1
LMGTE Am,M,2,205.5,03:58.7
LMP2,G,3,223.9,03:39.1
LMGTE Am,M,3,211.0,03:52.5
LMP2,G,19,226.7,03:36.4
LMGTE Am,M,15,212.1,03:51.3
HYPERCAR,M,10,233.6,03:30.0
LMGTE Am,M,22,212.9,03:50.4
LMGTE Am,M,2,208.9,03:54.8
LMP2,G,28,225.6,03:37.4
HYPERCAR,M,22,234.8,03:28.9
LMP2,G,5,225.2,03:37.8
HYPERCAR,M,11,234.7,03:29.0
HYPERCAR,M,18,230.7,03:32.6
LMGTE Am,M,14,211.9,03:51.4
LMGTE Am,M,1,212.1,03:51.3
LMGTE Am,M,14,212.1,03:51.3
HYPERCAR,M,4,234.0,03:29.7
LMP2,G,8,223.9,03:39.0
LMGTE Am,M,2,205.5,03:58.7
LMGTE Am,M,2,207.7,03:56.2
LMP2,G,16,225.7,03:37.3
LMP2,G,2,225.2,03:37.8
HYPERCAR,M,7,233.7,03:29.9
LMP2,G,5,226.7,03:36.4
HYPERCAR,M,16,233.5,03:30.1
LMP2,G,3,223.9,03:39.1
